"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"hg19-RBM31",1.33859356330193e-109,0.333449126403809,0.998,0.969,2.42178347472584e-105,"2","hg19-RBM3"
"hg19-AP2A1",1.20883479431375e-108,0.277279674465988,0.807,0.393,2.18702390987243e-104,"2","hg19-AP2A1"
"hg19-FLYWCH2",3.48551269133427e-108,0.310814173365451,0.871,0.475,6.30598956116195e-104,"2","hg19-FLYWCH2"
"hg19-ST131",6.36342280376267e-108,0.368420229061386,0.991,0.83,1.15127045365674e-103,"2","hg19-ST13"
"hg19-TMEM261",1.00269708506171e-106,0.333173372815002,0.831,0.447,1.81407956629365e-102,"2","hg19-TMEM261"
"hg19-GRINA",1.9372349327709e-106,0.369937783331022,0.957,0.665,3.50484544036912e-102,"2","hg19-GRINA"
"hg19-GPI",4.66982691061424e-106,0.259543881190703,0.761,0.364,8.44865084668329e-102,"2","hg19-GPI"
"hg19-RPN1",2.30672650381494e-105,0.279189541974749,0.718,0.34,4.17332959070199e-101,"2","hg19-RPN1"
"hg19-PTPRS",1.16181957833708e-104,0.299918609537732,0.772,0.379,2.10196398112744e-100,"2","hg19-PTPRS"
"hg19-GDE1",1.9832131573976e-104,0.264355584420596,0.749,0.361,3.58802924436374e-100,"2","hg19-GDE1"
"hg19-SLC25A39",6.67535133619976e-104,0.345383106532699,0.906,0.575,1.20770456374526e-99,"2","hg19-SLC25A39"
"hg19-LAGE3",1.75219996591315e-103,0.360826547870768,0.903,0.542,3.17008017833008e-99,"2","hg19-LAGE3"
"hg19-QKI",2.66583263863547e-102,0.303259628815143,0.832,0.445,4.8230244098193e-98,"2","hg19-QKI"
"hg19-VEGFB",2.71027913339787e-102,0.313100743169626,0.867,0.483,4.90343700814342e-98,"2","hg19-VEGFB"
"hg19-COX7B",3.92709809542353e-101,0.425196946259003,0.957,0.745,7.10490587424025e-97,"2","hg19-COX7B"
"hg19-ATP5G1",8.05916419891165e-101,0.409121287637859,0.937,0.676,1.4580639868671e-96,"2","hg19-ATP5G1"
"hg19-MT-CO11",3.10393668131753e-99,0.278347276608132,0.999,0.999,5.61564224383968e-95,"2","hg19-MT-CO1"
"hg19-TMEM147",6.03801857254583e-99,0.355675545798055,0.976,0.78,1.09239832014499e-94,"2","hg19-TMEM147"
"hg19-SDC2",1.16821351006513e-98,0.291622204917279,0.745,0.379,2.11353188240984e-94,"2","hg19-SDC2"
"hg19-COA4",3.63487463814341e-98,0.330368933599618,0.911,0.583,6.57621519532905e-94,"2","hg19-COA4"
"hg19-GALNT2",8.36110637113596e-98,0.250448318402721,0.797,0.399,1.51269136466592e-93,"2","hg19-GALNT2"
"hg19-RAB2A",4.73140744662821e-97,0.370678570565721,0.957,0.709,8.56006235243976e-93,"2","hg19-RAB2A"
"hg19-MIR4458HG",6.58382656435708e-96,0.257357973193536,0.744,0.372,1.19114590202348e-91,"2","hg19-MIR4458HG"
"hg19-EIF3B",1.1862866373883e-95,0.280364412476102,0.812,0.426,2.14622978436291e-91,"2","hg19-EIF3B"
"hg19-GPX1",2.09934464974375e-95,0.300841829074228,1,0.988,3.7981343403164e-91,"2","hg19-GPX1"
"hg19-CPB11",2.71091352144475e-95,0.304673257373634,0.476,0.187,4.90458474299784e-91,"2","hg19-CPB1"
"hg19-CELF1",1.38234543456011e-94,0.288748604595816,0.84,0.463,2.50093936020615e-90,"2","hg19-CELF1"
"hg19-BLVRB1",2.18699548679123e-93,0.276319599220801,0.772,0.402,3.9567122347027e-89,"2","hg19-BLVRB"
"hg19-POLR2E",1.80120149289969e-92,0.322546907011112,0.933,0.633,3.25873374095412e-88,"2","hg19-POLR2E"
"hg19-FERMT2",5.2242504051197e-92,0.283014905641372,0.894,0.514,9.45171383294256e-88,"2","hg19-FERMT2"
"hg19-GRHPR",8.34470764325602e-92,0.296941071639968,0.904,0.554,1.50972450681788e-87,"2","hg19-GRHPR"
"hg19-LARP1",1.94032556499377e-91,0.311008556986907,0.919,0.569,3.51043701218672e-87,"2","hg19-LARP1"
"hg19-EIF3E1",3.65136637880664e-90,0.289999585019778,0.999,0.867,6.60605205253697e-86,"2","hg19-EIF3E"
