"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mm10-Dda1",3.09160771242002e-29,0.348143189595324,0.963,0.879,4.79477440119221e-25,"2","mm10-Dda1"
"mm10-Tardbp",3.11497239917135e-29,0.335155513007399,0.838,0.58,4.83101069387484e-25,"2","mm10-Tardbp"
"mm10-Chic21",3.77065352050006e-29,0.337867393576099,0.917,0.765,5.84790654494354e-25,"2","mm10-Chic2"
"mm10-Lap3",4.35281296886557e-29,0.323252335442828,0.736,0.481,6.75077763341361e-25,"2","mm10-Lap3"
"mm10-Ptpn11",5.00779637708838e-29,0.282232135204168,0.817,0.525,7.76659140122637e-25,"2","mm10-Ptpn11"
"mm10-Cltc1",5.61779261222569e-29,0.340641998134642,0.932,0.725,8.71263456230082e-25,"2","mm10-Cltc"
"mm10-Ppa11",8.93182006232902e-29,0.464669321757907,0.823,0.602,1.38523597346661e-24,"2","mm10-Ppa1"
"mm10-Drg1",1.14182315296201e-28,0.274847959463836,0.786,0.539,1.77085352792878e-24,"2","mm10-Drg1"
"mm10-Gm16731",1.28183903204297e-28,0.389348640770273,0.943,0.812,1.98800415479544e-24,"2","mm10-Gm1673"
"mm10-Ppp2r4",1.51187794256942e-28,0.310935543962716,0.817,0.571,2.34477150113091e-24,"2","mm10-Ppp2r4"
"mm10-Ypel31",1.71695034745564e-28,0.279094301921842,0.59,0.317,2.66281829386896e-24,"2","mm10-Ypel3"
"mm10-Gnpnat1",2.14463455851745e-28,0.287135562106571,0.758,0.523,3.32611373680471e-24,"2","mm10-Gnpnat1"
"mm10-Smek2",2.65426821786867e-28,0.267641033262169,0.749,0.462,4.11650457909252e-24,"2","mm10-Smek2"
"mm10-Mrps30",2.69583087176315e-28,0.263525116679748,0.74,0.483,4.18096409901747e-24,"2","mm10-Mrps30"
"mm10-Hmbs",4.64739520415309e-28,0.250936307264177,0.745,0.478,7.20764522212103e-24,"2","mm10-Hmbs"
"mm10-Mthfd21",4.732545859194e-28,0.381165697032874,0.95,0.79,7.33970537302398e-24,"2","mm10-Mthfd2"
"mm10-Naa20",6.47800732789222e-28,0.319011011643246,0.843,0.672,1.00467415648281e-23,"2","mm10-Naa20"
"mm10-Nudt5",7.02080184862626e-28,0.256795687812674,0.766,0.505,1.08885615870345e-23,"2","mm10-Nudt5"
"mm10-Hsd17b10",1.68338306086402e-27,0.426149818496287,0.865,0.728,2.61075878909401e-23,"2","mm10-Hsd17b10"
"mm10-Eif4g1",1.72943655971866e-27,0.294271391248978,0.915,0.703,2.68218316046767e-23,"2","mm10-Eif4g1"
"mm10-Gde1",2.52460734705042e-27,0.273023295829062,0.738,0.465,3.91541353454049e-23,"2","mm10-Gde1"
"mm10-Sdhaf41",2.81474935277363e-27,0.342979763788628,0.838,0.677,4.36539477121663e-23,"2","mm10-Sdhaf4"
"mm10-Tmem11",3.54921488926931e-27,0.304943931661494,0.808,0.586,5.50447737176778e-23,"2","mm10-Tmem11"
